address,is_verified,contract_name,compiler_version,source,has_variable_rw_set,rw_confidence,rw_evidence_functions,rw_reasoning,rw_error,rw_branch_condition
0xdac17f958d2ee523a2206206994597c13d831ec7,TRUE,TetherToken,v0.4.18+commit.9cf6e910,etherscan,1,high,transfer;transferFrom;approve,deprecated为true时调用外部合约，否则操作本合约balances等变量，读写集不同,no_source,判断deprecated状态
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,TRUE,FiatTokenProxy,v0.4.24+commit.e67f0147,etherscan,1,high,changeAdmin;upgradeTo;upgradeToAndCall,changeAdmin/upgradeTo/upgradeToAndCall受ifAdmin修饰符影响：若msg.sender等于admin，则执行函数体，分别写admin槽或implementation槽；否则执行_fallback，读取implementation槽并委托调用，还读取admin槽做校验；不同分支访问的存储变量集合不同。,,
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,TRUE,UniswapV2Router02,v0.6.6+commit.6c089d02,etherscan,0,high,,合约自身没有可变的state variable，分支只影响外部调用或局部变量，不涉及读写不同的本合约存储变量。,,
0x66a9893cc07d91d95644aedd05d03f95e1dba8af,TRUE,UniversalRouter,v0.8.26+commit.8a97fa7a,etherscan,0,high,execute,所有分支主要调用外部合约或内部工具函数，本合约自身的可写存储状态不因分支而异，仅同一锁状态，无不同 state variable 的读写差异。,no_source,
0x0000000000001ff3684f28c67538d4d072c22734,TRUE,AllowanceHolder,v0.8.25+commit.b61c2a91,etherscan,1,high,fallback;exec;transferFrom,exec 内 if (sender != tx.origin) 分支，一个分支将 allowance 置零写入 transient storage，另一个分支不写任何状态，导致不同分支的读写集不同。,,
0xa69babef1ca67a37ffaf7a485dfff3382056e78c,FALSE,,,none,,,,,,
0x881d40237659c251811cec9c364ef91dc08d300c,TRUE,MetaSwap,v0.6.12+commit.27d51765,etherscan,0,high,,MetaSwap及其适配器合约中的条件分支（如if tokenFrom!=ETH）仅影响外部调用（token转账、approve等），不写入不同的state variable。setAdapter/removeAdapter/pause/unpause等函数均无条件分支地写入固定的状态变量。合约无可变状态变量的分支依赖模式。,,
0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,TRUE,TransparentUpgradeableProxy,v0.8.9+commit.e5eed63a,etherscan,1,high,fallback;receive;_fallback,TransparentUpgradeableProxy的_fallback中，admin路径按msg.sig分派：upgradeTo分支写_IMPLEMENTATION_SLOT，changeAdmin分支写_ADMIN_SLOT，不同分支读写完全不同的存储槽变量,,msg.sender是否为admin及msg.sig值决定走不同分派分支
0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,FALSE,,,none,,,,,,
0x51c72848c68a965f66fa7a88855f9f7784502a7f,FALSE,,,none,,,,,,
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,TRUE,WETH9,v0.4.19+commit.c4cbbb05,etherscan,1,high,transferFrom;transfer,transferFrom中if分支读取/修改allowance[src][msg.sender]，而else分支不触碰allowance；分支后共同修改balanceOf[src]和balanceOf[dst]，导致不同分支读写state variable集合不同。,,
0x0000000000000068f116a894984e2db1123eb395,TRUE,Seaport,v0.8.24+commit.e11b9ed9,etherscan,1,high,fulfillOrder;fulfillAdvancedOrder;fulfillAvailableOrders;matchOrders;matchAdvancedOrders,在订单执行路径中，根据orderType是否等于CONTRACT分支：非CONTRACT订单更新_orderStatus，CONTRACT订单调用外部生成订单并递增_contractNonces，导致不同分支读写不同的状态变量。,,
0x1111111254eeb25477b68fb85ed929f73a960582,TRUE,AggregationRouterV5,v0.8.17+commit.8df45f5f,etherscan,1,high,fillOrderTo;fillOrder;fillOrderToWithPermit,fillOrderTo 中 if(order.predicate().length>0) 分支调用 checkPredicate 可能读取 nonce 映射，否则不读取；所有路径还会读写 _remaining，故不同路径 state 变量集合不同。,,
0x5c7bcd6e7de5423a257d81b442095a1a6ced35c5,TRUE,ERC1967Proxy,v0.8.9+commit.e5eed63a,etherscan,1,high,admin;implementation;changeAdmin;upgradeTo;upgradeToAndCall,TransparentUpgradeableProxy中因ifAdmin修饰符，管理员分支直接读写管理槽位，非管理员分支执行_fallback()，delegatecall可能读写任意存储变量，分支间读写集不同。,,
0x111111125421ca6dc452d289314280a0f8842a65,TRUE,AggregationRouterV6,v0.8.23+commit.f704f362,etherscan,1,high,cancelOrder;fillOrder;fillOrderArgs;fillContractOrder;fillContractOrderArgs,cancelOrder 和 _fill 中 if (useBitInvalidator) 时写 _bitInvalidator，else 写 _remainingInvalidator，分支触碰不同状态变量。,,
0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,FALSE,,,none,,,,,,
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,TRUE,LiFiDiamond,v0.8.17+commit.8df45f5f,etherscan,0,high,,合约中仅有fallback和receive，fallback中的if分支仅导致revert或delegatecall，未直接读写不同的state variable，其余库函数非external/public，故不满足条件。,,
0xa5f565650890fba1824ee0f21ebbbf660a179934,TRUE,RelayReceiver,v0.8.23+commit.f704f362,etherscan,0,high,fallback;forward;makeCalls,所有分支均为revert或仅影响成功/失败，不同分支读写的状态变量集合相同（或无状态变量写入），故不构成可变读写集。,,
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,FALSE,,,none,,,,,,
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,TRUE,UniversalRouter,v0.8.17+commit.8df45f5f,etherscan,1,high,execute;uniswapV3SwapCallback,execute函数内dispatch根据命令类型调用不同逻辑，读写不同状态变量（如lockedBy、maxAmountInCached等），且modifier分支导致lockedBy读写有无；uniswapV3SwapCallback在单池分支读取maxAmountInCached，其余分支不读。,,
0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,FALSE,,,none,,,,,,
0x1f2f10d1c40777ae1da742455c65828ff36df387,FALSE,,,none,,,,,,
0x514910771af9ca656af840dff83e8264ecf986ca,TRUE,LinkToken,v0.4.16+commit.d7661dd9,etherscan,0,high,,所有非 view/pure 的 public/external 函数中，存在 if 分支的 decreaseApproval 和 transferAndCall，但不同分支读写的是同一 state variable（allowed 或 balances），且 transferAndCall 的分支仅影响外部调用，不直接读写不同变量，因此不满足条件。,,
0xf3de3c0d654fda23dad170f0f320a92172509127,FALSE,,,none,,,,,,
0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,TRUE,TokenMintERC20Token,v0.5.0+commit.1d4f565a,etherscan,0,high,,公开状态函数仅调用内部函数，只有require校验，无运行时if/else分支读写不同状态变量，读写集固定。,,
0xeff6cb8b614999d130e537751ee99724d01aa167,FALSE,,,none,,,,,,
0x2e1dee213ba8d7af0934c49a23187babeaca8764,TRUE,DexRouter,v0.8.17+commit.8df45f5f,etherscan,0,high,,合约中所有状态变量均为常量（constant），不存在可变的存储变量，因此任何分支都不会读写不同的状态变量。,,
0x6982508145454ce325ddbe47a25d4ec3d2311933,TRUE,PepeToken,v0.8.0+commit.c7dfd78e,etherscan,1,high,transfer;transferFrom;burn,transfer/transferFrom/burn 经 _beforeTokenTransfer：uniswapV2Pair==0 分支读取 owner；另一分支在 limited 且 from==pair 时读取 maxHoldingAmount、minHoldingAmount、余额，分支间变量集合不同。,,
0x9008d19f58aabd9ed0d60971565aa8510560ab41,TRUE,GPv2Settlement,v0.7.6+commit.7338295f,etherscan,1,high,settle;swap,settle/swap 调用的 recoverOrderSigner 根据签名方案分支，Eip712/EthSign/Eip1271 分支不读 preSignature，PreSign 分支读取 preSignature，导致不同分支触及的 state variable 集合不同。,,
0x6b175474e89094c44da98b954eedeac495271d0f,TRUE,Dai,v0.5.12+commit.7709ece9,etherscan,1,high,transferFrom;burn,在transferFrom和burn中，if分支内操作allowance变量，分支外操作balanceOf等变量；条件不满足时不操作allowance，导致不同路径读写变量集合不同。,,
